Age [ka],d18O GRIP,T GRIP,d18O GoM,Pa/Th
0.1,-35.189803921568625,-31.911455147058813,,
0.2,-35.25065217391304,-31.941628874999992,,
0.3,-35.270476190476195,-31.992737690476172,,0.054
0.4,-35.016666666666666,-31.534384583333317,,
0.5,-35.30048780487805,-31.9967647317073,,
0.6,-35.554871794871794,-32.49872842307691,,0.054
0.7,-35.249459459459466,-31.92570834459458,1.3612067429871209,
0.8,-35.58923076923077,-32.50731716666665,1.0356285769772133,
0.9,-35.29684210526315,-31.974334842105243,1.129894045477727,
1.0,-34.99589743589743,-31.5211020128205,1.3112858730511079,0.057
1.1,-35.4171052631579,-32.21076442763155,1.3503348647187288,
1.2,-34.931315789473686,-31.451160006578938,1.1688189558392255,0.051
1.3,-35.20297297297298,-31.839353736486473,1.16108033125153,
1.4,-35.36710526315789,-32.15218841447368,1.2556808624284395,
1.5,-35.19694444444444,-31.872803937499985,,0.054
1.6,-35.207027027027024,-31.849668391891875,,
1.7,-35.28828571428571,-31.971393264285695,,
1.8,-35.13057142857143,-31.69748587857142,,
1.9,-34.85972972972973,-31.267353141891874,,0.053
2.0,-35.093888888888884,-31.682562069444437,,
2.1,-35.122352941176466,-31.682850235294108,,
2.2,-34.85970588235294,-31.31711196323528,,
2.3,-35.056363636363635,-31.636944666666647,,
2.4,-34.88999999999999,-31.35352358333332,,
2.5,-34.68272727272726,-31.05645008333332,,
2.6,-34.863939393939404,-31.284617249999993,,
2.7,-35.04545454545455,-31.590720999999988,,
2.8,-34.915000000000006,-31.37526603124998,,
2.9,-34.81090909090909,-31.19265533333332,,0.055
3.0,-35.008064516129025,-31.538878911290304,,
3.1,-34.956999999999994,-31.424251024999975,,
3.2,-34.87935483870969,-31.30208838709676,,0.058
3.3,-34.43483870967742,-30.64238379032256,,0.044
3.4,-35.03066666666667,-31.541960466666662,,
3.5,-34.69965517241379,-31.018838353448253,,
3.6,-35.04966666666667,-31.60171989166665,,
3.7,-34.65133333333333,-30.970937266666645,,
3.8,-34.83433333333333,-31.24426077499999,,
3.9,-34.88241379310344,-31.35047924999998,,
4.0,-34.62931034482759,-30.900729267241363,,
4.1,-34.79555555555556,-31.195072370370355,,
4.2,-34.82962962962963,-31.198586259259248,,
4.3,-34.93444444444444,-31.382129101851838,,
4.4,-34.68769230769231,-31.058369596153828,,0.054
4.5,-34.901785714285715,-31.3278356517857,,
4.6,-34.9536,-31.442472799999983,,0.047
4.7,-35.12538461538462,-31.6884948653846,,0.062
4.8,-34.89208333333334,-31.308701593749984,,
4.9,-34.85208333333333,-31.225733406249983,,
5.0,-34.655,-30.97522620192306,,0.05
5.1,-34.78038461538461,-31.157818586538447,,
5.2,-34.9196,-31.350864689999984,,
5.3,-35.04666666666667,-31.57274822916665,,
5.4,-34.885416666666664,-31.31882296874998,,
5.5,-34.88291666666667,-31.274134552083314,,0.058
5.6,-34.66739130434783,-30.988993184782604,,
5.7,-34.79086956521739,-31.15578044565215,,0.052
5.8,-34.81652173913044,-31.236487086956508,,
5.9,-34.73652173913043,-31.078863782608686,,0.042
6.0,-35.003478260869564,-31.52113910869563,,
6.1,-34.88913043478261,-31.30859292391302,,
6.2,-34.8,-31.177830065217375,,
6.3,-35.00173913043478,-31.45941667391303,,
6.4,-34.87095238095238,-31.266328464285692,,
6.5,-34.74999999999999,-31.083725583333305,,
6.6,-34.840454545454556,-31.19142462499999,,
6.7,-34.662857142857135,-30.950805642857123,,
6.8,-34.8385,-31.22022371249999,,
6.9,-34.72952380952382,-31.077026976190464,,
7.0,-34.809,-31.16518342499998,1.137728252131282,
7.1,-34.873999999999995,-31.311851374999982,0.8809927539738615,0.045
7.2,-34.682105263157894,-30.978354605263146,0.9342499617113766,
7.3,-34.480000000000004,-30.694180199999984,1.0710513888207216,0.05
7.4,-34.6145,-30.859280437499983,1.1267808905129482,
7.5,-34.71000000000001,-31.001183416666652,0.9323194230013883,
7.6,-34.723157894736836,-31.041602578947348,0.8569357800315187,0.047
7.7,-34.464999999999996,-30.682256874999986,0.8943474175163297,
7.8,-34.53,-30.781936274999985,0.8997429067413797,0.055
7.9,-34.669,-30.992911324999987,1.009670112872366,
